City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Sao Jose Da Coroa Grande,BR,73.51,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
4,Port-Gentil,GA,73.44,light rain,-0.7193,8.7815,Fengshui Residence
6,Charters Towers,AU,75.87,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
11,Atuona,PF,76.62,light rain,-9.8,-139.0333,Villa Enata
14,Tura,IN,76.73,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
16,Ribeira Grande,PT,74.86,light rain,38.5167,-28.7,Quinta da Meia Eira
18,Hamilton,US,77.92,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
25,Puerto Ayora,EC,68.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Bethel,US,79.65,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
29,Jumla,NP,62.87,overcast clouds,29.2747,82.1838,Royal Garden Hotel
33,Elmvale,CA,79.41,broken clouds,44.5834,-79.8664,To Jo's Christian Family Camp
39,Mahebourg,MU,68.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
42,Chute-Aux-Outardes,CA,62.58,clear sky,49.1168,-68.399,Camp St-Paul Gite Plein-Air
43,Senneterre,CA,74.5,overcast clouds,48.3835,-77.2328,Motel Senabi
44,Puerto Lempira,HN,78.28,overcast clouds,15.2667,-83.7667,Puerto Lempira gracias a Dios
45,Kushiro,JP,70.75,broken clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
46,Yellowknife,CA,61.32,light intensity shower rain,62.456,-114.3525,The Explorer Hotel
47,Dunbar,US,77.05,broken clouds,38.3606,-81.7374,"Holiday Inn & Suites Charleston West, an IHG Hotel"
50,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
51,Gigmoto,PH,77.74,overcast clouds,13.7796,124.39,Cj's Travellers Inn
55,La Rioja,ES,62.38,few clouds,42.25,-2.5,Casa Concejos
59,Rikitea,PF,69.71,overcast clouds,-23.1203,-134.9692,People ThankYou
61,Lompoc,US,70.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
64,Faanui,PF,77.7,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
69,Kodiak,US,65.71,few clouds,57.79,-152.4072,Best Western Kodiak Inn
71,Carnarvon,AU,66.97,clear sky,-24.8667,113.6333,Hospitality Carnarvon
72,Teguise,ES,68.22,scattered clouds,29.0605,-13.564,B&B La Casona de Nazaret
81,Ishinomaki,JP,77.67,overcast clouds,38.4167,141.3,Ishinomaki Grand Hotel
88,Namibe,AO,60.67,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
90,Yeppoon,AU,71.38,broken clouds,-23.1333,150.7333,Villa Mar Colina
93,Sao Joao Da Barra,BR,70.54,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
