City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mitu,CO,1.1983,-70.1733,71.29,96,15,0.16,few clouds
1,College,US,64.8569,-147.8028,55.09,87,75,9.22,heavy intensity rain
2,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,73.51,88,27,8.88,scattered clouds
3,Castro,BR,-24.7911,-50.0119,53.17,96,100,5.91,overcast clouds
4,Port-Gentil,GA,-0.7193,8.7815,73.44,82,100,12.75,light rain
5,Albany,US,42.6001,-73.9662,81.25,90,28,4.23,scattered clouds
6,Charters Towers,AU,-20.1,146.2667,75.87,42,54,12.17,broken clouds
7,Kars,TR,40.602,43.095,54.05,82,0,4.61,clear sky
8,Qaanaaq,GL,77.484,-69.3632,39.11,67,10,2.8,clear sky
9,Hithadhoo,MV,-0.6,73.0833,82.35,72,100,11.36,overcast clouds
10,Busselton,AU,-33.65,115.3333,56.5,70,4,8.77,clear sky
11,Atuona,PF,-9.8,-139.0333,76.62,78,27,17.76,light rain
12,Yumen,CN,40.2833,97.2,77.47,31,100,12.33,moderate rain
13,Myitkyina,MM,25.3833,97.4,81.36,85,98,1.54,overcast clouds
14,Tura,IN,25.5198,90.2201,76.73,91,93,2.77,overcast clouds
15,Vaini,TO,-21.2,-175.2,80.76,89,20,8.05,few clouds
16,Ribeira Grande,PT,38.5167,-28.7,74.86,84,23,10.85,light rain
17,Lavrentiya,RU,65.5833,-171.0,49.75,71,88,9.75,overcast clouds
18,Hamilton,US,39.1834,-84.5333,77.92,90,0,8.05,clear sky
19,Mayo,US,38.8876,-76.5119,83.95,88,100,1.01,overcast clouds
20,Hermanus,ZA,-34.4187,19.2345,56.8,81,96,20.74,overcast clouds
21,Cape Town,ZA,-33.9258,18.4232,56.88,85,0,4.61,clear sky
22,Enshi,CN,30.3,109.4833,86.54,65,69,3.56,broken clouds
23,Hobart,AU,-42.8794,147.3294,51.26,77,20,5.75,few clouds
24,Narsaq,GL,60.9167,-46.05,46.62,94,85,2.42,overcast clouds
25,Puerto Ayora,EC,-0.7393,-90.3518,68.56,97,78,5.99,broken clouds
26,Kapaa,US,22.0752,-159.319,83.12,75,0,5.75,clear sky
27,Bethel,US,41.3712,-73.414,79.65,83,47,3.98,scattered clouds
28,Port Alfred,ZA,-33.5906,26.891,57.18,96,100,4.0,moderate rain
29,Jumla,NP,29.2747,82.1838,62.87,96,100,2.68,overcast clouds
30,Mataura,NZ,-46.1927,168.8643,42.48,96,100,4.32,overcast clouds
31,Tuktoyaktuk,CA,69.4541,-133.0374,44.8,92,100,21.23,light rain
32,Comodoro Rivadavia,AR,-45.8667,-67.5,39.06,93,75,5.75,broken clouds
33,Elmvale,CA,44.5834,-79.8664,79.41,85,69,5.44,broken clouds
34,Sisimiut,GL,66.9395,-53.6735,42.94,91,100,9.8,overcast clouds
35,Punta Arenas,CL,-53.15,-70.9167,35.71,93,100,5.75,overcast clouds
36,San Patricio,US,28.017,-97.5169,84.88,70,97,13.47,overcast clouds
37,Saskylakh,RU,71.9167,114.0833,52.07,57,100,10.6,overcast clouds
38,Ushuaia,AR,-54.8,-68.3,33.46,80,0,1.14,clear sky
39,Mahebourg,MU,-20.4081,57.7,68.29,88,40,5.75,scattered clouds
40,New Norfolk,AU,-42.7826,147.0587,51.93,67,90,1.01,overcast clouds
41,Mopti,ML,14.6667,-4.0,85.21,59,73,9.19,broken clouds
42,Chute-Aux-Outardes,CA,49.1168,-68.399,62.58,77,0,13.8,clear sky
43,Senneterre,CA,48.3835,-77.2328,74.5,77,100,13.27,overcast clouds
44,Puerto Lempira,HN,15.2667,-83.7667,78.28,88,100,10.18,overcast clouds
45,Kushiro,JP,42.975,144.3747,70.75,83,75,11.5,broken clouds
46,Yellowknife,CA,62.456,-114.3525,61.32,82,75,5.75,light intensity shower rain
47,Dunbar,US,38.3606,-81.7374,77.05,95,75,0.0,broken clouds
48,Luderitz,NA,-26.6481,15.1594,54.72,97,74,9.04,broken clouds
49,Bluff,NZ,-46.6,168.3333,43.81,53,100,14.07,overcast clouds
50,Avarua,CK,-21.2078,-159.775,77.05,61,40,19.57,scattered clouds
51,Gigmoto,PH,13.7796,124.39,77.74,90,100,11.63,overcast clouds
52,Cherskiy,RU,68.75,161.3,45.82,56,34,19.19,scattered clouds
53,Acapulco,MX,16.8634,-99.8901,84.02,74,100,5.75,overcast clouds
54,Maumere,ID,-8.6199,122.2111,81.99,67,40,3.44,scattered clouds
55,La Rioja,ES,42.25,-2.5,62.38,89,21,1.81,few clouds
56,Sobolevo,RU,54.4299,31.8996,61.86,97,100,9.73,overcast clouds
57,Walvis Bay,NA,-22.9575,14.5053,55.09,94,93,4.61,overcast clouds
58,Bredasdorp,ZA,-34.5322,20.0403,57.13,83,100,22.03,overcast clouds
59,Rikitea,PF,-23.1203,-134.9692,69.71,66,100,23.17,overcast clouds
60,San Andres,CO,12.5847,-81.7006,82.42,83,75,10.36,broken clouds
61,Lompoc,US,34.6391,-120.4579,70.02,72,0,12.66,clear sky
62,Camacupa,AO,-12.0167,17.4833,54.14,46,0,4.38,clear sky
63,Tiksi,RU,71.6872,128.8694,43.45,79,100,17.25,overcast clouds
64,Faanui,PF,-16.4833,-151.75,77.7,73,92,26.22,overcast clouds
65,Lalmohan,BD,22.3384,90.7419,86.05,76,55,19.19,broken clouds
66,Sand Springs,US,36.1398,-96.1089,88.72,60,1,1.01,clear sky
67,Viedma,AR,-40.8135,-62.9967,43.12,75,100,6.58,overcast clouds
68,Port Blair,IN,11.6667,92.75,80.64,89,100,11.5,moderate rain
69,Kodiak,US,57.79,-152.4072,65.71,42,20,13.8,few clouds
70,Cocorit,MX,27.5833,-109.9667,84.58,68,100,6.53,overcast clouds
71,Carnarvon,AU,-24.8667,113.6333,66.97,50,0,14.45,clear sky
72,Teguise,ES,29.0605,-13.564,68.22,83,40,16.11,scattered clouds
73,Mar Del Plata,AR,-38.0023,-57.5575,47.08,77,100,1.99,overcast clouds
74,Macduff,GB,57.6701,-2.4969,56.68,1,99,15.37,overcast clouds
75,Dikson,RU,73.5069,80.5464,41.02,97,100,9.15,overcast clouds
76,Shasta Lake,US,40.6804,-122.3708,90.75,24,0,3.31,clear sky
77,Butaritari,KI,3.0707,172.7902,82.36,75,84,14.97,light rain
78,Doha,QA,25.2867,51.5333,93.18,79,3,6.91,clear sky
79,Sungai Besar,MY,3.6746,100.9867,83.34,73,99,10.27,overcast clouds
80,Bell Ville,AR,-32.6259,-62.6887,43.81,63,77,5.57,broken clouds
81,Ishinomaki,JP,38.4167,141.3,77.67,77,99,8.7,overcast clouds
82,Ust-Ilimsk,RU,58.0006,102.6619,57.2,71,100,10.96,overcast clouds
83,Ostrovnoy,RU,68.0531,39.5131,63.66,87,100,23.22,overcast clouds
84,Todos Santos,MX,23.45,-110.2167,84.04,85,100,3.11,overcast clouds
85,Tasiilaq,GL,65.6145,-37.6368,42.96,92,100,21.5,moderate rain
86,Margate,GB,51.3813,1.3862,57.31,85,42,1.72,scattered clouds
87,Husavik,IS,66.0449,-17.3389,51.8,87,79,5.99,broken clouds
88,Namibe,AO,-15.1961,12.1522,60.67,88,0,7.65,clear sky
89,Sakaiminato,JP,35.55,133.2333,86.34,70,1,6.53,clear sky
90,Yeppoon,AU,-23.1333,150.7333,71.38,44,72,4.32,broken clouds
91,Iqaluit,CA,63.7506,-68.5145,42.53,87,75,6.91,broken clouds
92,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,50.4,97,3,6.15,clear sky
93,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.54,78,89,9.55,overcast clouds
94,Lebu,CL,-37.6167,-73.65,48.7,94,100,4.5,overcast clouds
95,Victoria,HK,22.2855,114.1577,91.96,74,75,11.99,broken clouds
96,Vineland,US,39.4862,-75.0257,82.04,89,0,3.44,clear sky
97,Esperance,AU,-33.8667,121.9,61.29,59,68,19.35,broken clouds
98,Coquimbo,CL,-29.9533,-71.3436,55.13,87,100,5.75,overcast clouds
99,Champasak,LA,14.75,106.0,77.88,84,100,1.32,moderate rain
100,Palmer,US,42.1584,-72.3287,79.97,77,75,9.22,broken clouds
101,Codrington,AU,-38.2667,141.9667,52.68,57,97,6.35,overcast clouds
102,Rayadrug,IN,14.7,76.8667,73.72,85,100,19.35,overcast clouds
103,Egvekinot,RU,66.3167,-179.1667,48.69,63,100,6.31,overcast clouds
